adju_geo_region_name,geo_dma_bespoke,adju_geo_city
TOLEDO,CASTILLA_LA_MANCHA,LOS_NAVALUCILLOS
ZARAGOZA,ARAGON,LUMPIAQUE
ZARAGOZA,ARAGON,UNCASTILLO
LERIDA,CATALUNA_,TORRELAMEU
CIUDAD_REAL,CASTILLA_LA_MANCHA,TORRENUEVA
CASTELLON,VALENCIA,MONCOFA
CUENCA,CASTILLA_LA_MANCHA,CERVERA_DEL_LLANO
GRANADA,ANDALUCIA,BEZNAR
HUESCA,ARAGON,LASPUNA
LERIDA,CATALUNA_,BARCELONETA
LA_RIOJA,LA_RIOJA,ARNEDILLO
MURCIA,MURCIA,PUERTO_DE_MAZARRON
NAVARRA,NAVARRA,GOIZUETA
ASTURIAS,ASTURIAS,PIEDRAS_BLANCAS
ISLAS_BALEARES,ISLAS_BALEARES,CALA_MURADA
SALAMANCA,CASTILLA_Y_LEON,ARMENTEROS
SALAMANCA,CASTILLA_Y_LEON,MOZARBEZ
GUIPUZCOA,PAIS_VASCO,ARGISAIN
TARRAGONA,CATALUNA_,BELLTALL
SANTA_CRUZ_DE_TENERIFE,CANARIAS,AGULO
VALENCIA,VALENCIA,BENIPARRELL
CADIZ,ANDALUCIA,CASTELLAR_DE_LA_FRONTERA
CACERES,EXTREMADURA,SALVATIERRA_DE_SANTIAGO
GRANADA,ANDALUCIA,FONELAS
MADRID,MADRID,MANZANARES_EL_REAL
ALMERIA,ANDALUCIA,ALDEIRE
BARCELONA,CATALUNA_,MONTESQUIU
BARCELONA,CATALUNA_,VILANOVA_DE_SAU
VIZCAYA,PAIS_VASCO,ANDRA_MARI
LA_CORUNA,GALICIA,AS_SOMOZAS
CACERES,EXTREMADURA,BOHONAL_DE_IBOR
HUESCA,ARAGON,TORRES_DE_ALCANADRE
LERIDA,CATALUNA_,EL_PALAU_DANGLESOLA
MURCIA,MURCIA,LO_PAGAN
NAVARRA,NAVARRA,FONTELLAS
ASTURIAS,ASTURIAS,FAEDO
ORENSE,GALICIA,VILARINO
ISLAS_BALEARES,ISLAS_BALEARES,MANCOR_DE_LA_VALL
PONTEVEDRA,GALICIA,CALDAS_DE_REIS
SALAMANCA,CASTILLA_Y_LEON,TARAZONA_DE_LA_GUARENA
TARRAGONA,CATALUNA_,PIRA
SANTA_CRUZ_DE_TENERIFE,CANARIAS,TEJINA_DE_ISORA
TOLEDO,CASTILLA_LA_MANCHA,TORRALBA_DE_OROPESA
VALENCIA,VALENCIA,MACASTRE
VALENCIA,VALENCIA,RAFELBUNOL
ALAVA,PAIS_VASCO,LAPUEBLA_DE_LABARCA
BADAJOZ,EXTREMADURA,VALVERDE_DE_LLERENA
LERIDA,CATALUNA_,TERMENS
LA_RIOJA,LA_RIOJA,FONCEA
ALBACETE,CASTILLA_LA_MANCHA,LIETOR
LA_CORUNA,GALICIA,FONTELA
CACERES,EXTREMADURA,PERALES_DEL_PUERTO
CORDOBA,ANDALUCIA,EL_VISO
CORDOBA,ANDALUCIA,LA_VICTORIA
CIUDAD_REAL,CASTILLA_LA_MANCHA,ALMAGRO
CUENCA,CASTILLA_LA_MANCHA,BUENDIA
LAS_PALMAS,CANARIAS,ARRECIFE
NAVARRA,NAVARRA,ALSASUA
ASTURIAS,ASTURIAS,ORTIGUERA
ASTURIAS,ASTURIAS,SARIEGO
CANTABRIA,CANTABRIA,CIRES
SALAMANCA,CASTILLA_Y_LEON,MORILLE
SEVILLA,ANDALUCIA,ESTEPA
SEGOVIA,CASTILLA_Y_LEON,GOMEZSERRACIN
SEGOVIA,CASTILLA_Y_LEON,ORTIGOSA_DEL_MONTE
TARRAGONA,CATALUNA_,SIURANA
TOLEDO,CASTILLA_LA_MANCHA,CERVERA_DE_LOS_MONTES
VALLADOLID,CASTILLA_Y_LEON,VILLALON_DE_CAMPOS
VALLADOLID,CASTILLA_Y_LEON,WAMBA
BADAJOZ,EXTREMADURA,ALBURQUERQUE
BADAJOZ,EXTREMADURA,TORREMAYOR
VIZCAYA,PAIS_VASCO,SANGRONIZ
BURGOS,CASTILLA_Y_LEON,HERRAN
LA_CORUNA,GALICIA,MOURENTE
GIRONA,CATALUNA_,PERALADA
HUESCA,ARAGON,BOLTANA
HUESCA,ARAGON,CASTEJON_DE_SOS
HUESCA,ARAGON,ESCANILLA
HUESCA,ARAGON,LINAS_DE_BROTO
LERIDA,CATALUNA_,RIBERA_DE_CARDOS
LUGO,GALICIA,ROMAN
